"","Cell","Cell_type"
"1","C_1","AT2 cell"
"2","C_2","AT2 cell"
"3","C_3","AT2 cell"
"4","C_4","AT2 cell"
"5","C_5","AT2 cell"
"6","C_6","AT2 cell"
"7","C_7","AT2 cell"
"8","C_8","AT2 cell"
"9","C_9","AT2 cell"
"10","C_10","AT2 cell"
"11","C_11","AT2 cell"
"12","C_12","AT2 cell"
"13","C_13","AT2 cell"
"14","C_14","AT2 cell"
"15","C_15","AT2 cell"
"16","C_16","AT2 cell"
"17","C_17","AT2 cell"
"18","C_18","AT2 cell"
"19","C_19","AT2 cell"
"20","C_20","AT2 cell"
"21","C_21","AT2 cell"
"22","C_22","AT2 cell"
"23","C_23","AT2 cell"
"24","C_24","AT2 cell"
"25","C_25","AT2 cell"
"26","C_26","AT2 cell"
"27","C_27","AT2 cell"
"28","C_28","AT2 cell"
"29","C_29","AT2 cell"
"30","C_30","AT2 cell"
"31","C_31","AT2 cell"
"32","C_32","AT2 cell"
"33","C_33","AT2 cell"
"34","C_34","AT2 cell"
"35","C_35","AT2 cell"
"36","C_36","AT2 cell"
"37","C_37","AT2 cell"
"38","C_38","AT2 cell"
"39","C_39","AT2 cell"
"40","C_40","AT2 cell"
"41","C_41","AT2 cell"
"42","C_42","AT2 cell"
"43","C_43","AT2 cell"
"44","C_44","AT2 cell"
"45","C_45","AT2 cell"
"46","C_46","AT2 cell"
"47","C_47","AT2 cell"
"48","C_48","AT2 cell"
"49","C_49","AT2 cell"
"50","C_50","AT2 cell"
"51","C_51","AT2 cell"
"52","C_52","AT2 cell"
"53","C_53","AT2 cell"
"54","C_54","AT2 cell"
"55","C_55","AT2 cell"
"56","C_56","AT2 cell"
"57","C_57","AT2 cell"
"58","C_58","AT2 cell"
"59","C_59","AT2 cell"
"60","C_60","AT2 cell"
"61","C_61","AT2 cell"
"62","C_62","AT2 cell"
"63","C_63","AT2 cell"
"64","C_64","AT2 cell"
"65","C_65","AT2 cell"
"66","C_66","AT2 cell"
"67","C_67","AT2 cell"
"68","C_68","AT2 cell"
"69","C_69","AT2 cell"
"70","C_70","AT2 cell"
"71","C_71","AT2 cell"
"72","C_72","AT2 cell"
"73","C_73","AT2 cell"
"74","C_74","Endothelial cell (endothelial to mesenchymal transition)"
"75","C_75","AT2 cell"
"76","C_76","AT2 cell"
"77","C_77","AT2 cell"
"78","C_78","AT2 cell"
"79","C_79","AT2 cell"
"80","C_80","AT2 cell"
"81","C_81","AT2 cell"
"82","C_82","AT2 cell"
"83","C_83","AT2 cell"
"84","C_84","AT2 cell"
"85","C_85","AT2 cell"
"86","C_86","AT2 cell"
"87","C_87","AT2 cell"
"88","C_88","AT2 cell"
"89","C_89","AT2 cell"
"90","C_90","AT2 cell"
"91","C_91","AT2 cell"
"92","C_92","AT2 cell"
"93","C_93","AT2 cell"
"94","C_94","Endothelial cell (endothelial to mesenchymal transition)"
"95","C_95","AT2 cell"
"96","C_96","AT2 cell"
"97","C_97","AT2 cell"
"98","C_98","AT2 cell"
"99","C_99","AT2 cell"
"100","C_100","AT2 cell"
"101","C_101","AT2 cell"
"102","C_102","AT2 cell"
"103","C_103","AT2 cell"
"104","C_104","AT2 cell"
"105","C_105","AT2 cell"
"106","C_106","AT2 cell"
"107","C_107","AT2 cell"
"108","C_108","AT2 cell"
"109","C_109","AT2 cell"
"110","C_110","AT2 cell"
"111","C_111","AT2 cell"
"112","C_112","AT2 cell"
"113","C_113","AT2 cell"
"114","C_114","AT2 cell"
"115","C_115","AT2 cell"
"116","C_116","AT2 cell"
"117","C_117","AT2 cell"
"118","C_118","AT2 cell"
"119","C_119","AT2 cell"
"120","C_120","AT2 cell"
"121","C_121","AT2 cell"
"122","C_122","AT2 cell"
"123","C_123","AT2 cell"
"124","C_124","AT2 cell"
"125","C_125","AT2 cell"
"126","C_126","AT2 cell"
"127","C_127","AT2 cell"
"128","C_128","AT2 cell"
"129","C_129","AT2 cell"
"130","C_130","AT2 cell"
"131","C_131","AT2 cell"
"132","C_132","AT2 cell"
"133","C_133","AT2 cell"
"134","C_134","AT2 cell"
"135","C_135","AT2 cell"
"136","C_136","AT2 cell"
"137","C_137","AT2 cell"
"138","C_138","AT2 cell"
"139","C_139","AT2 cell"
"140","C_140","AT2 cell"
"141","C_141","AT2 cell"
"142","C_142","AT2 cell"
"143","C_143","AT2 cell"
"144","C_144","AT2 cell"
"145","C_145","AT2 cell"
"146","C_146","AT2 cell"
"147","C_147","AT2 cell"
"148","C_148","AT2 cell"
"149","C_149","AT2 cell"
"150","C_150","AT2 cell"
"151","C_151","AT2 cell"
"152","C_152","AT2 cell"
"153","C_153","AT2 cell"
"154","C_154","AT2 cell"
"155","C_155","AT2 cell"
"156","C_156","AT2 cell"
"157","C_157","AT2 cell"
"158","C_158","AT2 cell"
"159","C_159","AT2 cell"
"160","C_160","AT2 cell"
"161","C_161","AT2 cell"
"162","C_162","AT2 cell"
"163","C_163","AT2 cell"
"164","C_164","AT2 cell"
"165","C_165","AT2 cell"
